,Time,Wate,Action,Reward
0,1.0,0.0,16,10
1,2.0,0.0,32,10
2,3.0,0.0,8,10
3,4.0,0.0,8,10
4,5.0,0.0,48,10
5,6.0,0.0,48,10
6,7.0,0.0,24,10
7,8.0,0.0,48,10
8,9.0,0.0,48,10
9,10.0,0.0,64,10
10,11.0,0.0,8,10
11,12.0,0.0,52,10
12,13.0,0.0,52,10
13,14.0,0.0,32,10
14,15.0,0.0,32,10
15,16.0,0.0,24,10
16,17.0,0.0,32,10
17,18.0,0.0,32,10
18,19.0,0.0,16,10
19,20.0,0.0,48,10
20,21.0,0.0,8,10
21,22.0,0.0,64,10
22,23.0,0.0,32,10
23,24.0,0.0,64,10
24,25.0,0.0,32,10
25,26.0,0.0,64,10
26,27.0,0.0,64,10
27,28.0,0.0,16,10
28,29.0,0.0,32,10
29,30.0,0.0,64,10
30,31.0,0.0,64,10
31,32.0,0.0,48,10
32,33.0,0.0,48,10
33,34.0,0.0,16,10
34,35.0,0.0,64,10
35,36.0,0.0,16,10
36,37.0,0.0,8,10
37,38.0,0.0,8,10
38,39.0,0.0,24,10
39,40.0,0.0,48,10
40,41.0,0.0,64,10
41,42.0,0.0,52,10
42,43.0,0.0,48,10
43,44.0,0.0,64,10
44,45.0,0.0,52,10
45,46.0,0.0,32,10
46,47.0,0.0,52,10
47,48.0,0.0,24,10
48,49.0,0.0,64,10
49,50.0,0.0,8,10
50,51.0,0.0,24,10
51,52.0,0.0,64,10
52,53.0,0.0,24,10
53,54.0,0.0,24,10
54,55.0,0.0,16,10
55,56.0,0.0,32,10
56,57.0,0.0,64,10
57,58.0,0.0,24,10
58,59.0,0.0,64,10
59,60.0,0.0,24,10
60,61.0,0.0,32,10
61,62.0,0.0,16,10
62,63.0,0.0,48,10
63,64.0,0.0,48,10
64,65.0,0.0,16,10
65,66.0,0.0,64,10
66,67.0,0.0,24,10
67,68.0,0.0,8,10
68,69.0,0.0,8,10
69,70.0,0.0,52,10
70,71.0,0.0,64,10
71,72.0,0.0,64,10
72,73.0,0.0,24,10
73,74.0,0.0,16,10
74,75.0,0.0,52,10
75,76.0,0.0,16,10
76,77.0,0.0,64,10
77,78.0,0.0,32,10
78,79.0,0.0,16,10
79,80.0,0.0,48,10
80,81.0,0.0,16,10
81,82.0,0.0,52,10
82,83.0,1.0,64,10
83,84.0,2.0,8,10
84,85.0,3.0,64,10
85,86.0,4.0,16,10
86,87.0,5.0,52,10
87,88.0,6.0,52,10
88,89.0,7.0,8,10
89,90.0,8.0,24,10
90,91.0,9.0,24,10
91,92.0,10.0,52,10
92,93.0,11.0,52,10
93,94.0,12.0,52,10
94,95.0,0.0,64,10
95,96.0,0.0,8,10
96,97.0,0.0,64,10
97,98.0,0.0,16,10
98,99.0,0.0,24,10
99,100.0,0.0,24,10
100,101.0,0.0,8,10
101,102.0,0.0,64,10
102,103.0,0.0,24,10
103,104.0,0.0,32,10
104,105.0,0.0,16,10
105,106.0,0.0,16,10
106,107.0,0.0,32,10
107,108.0,0.0,8,10
108,109.0,0.0,24,10
109,110.0,0.0,8,10
110,111.0,0.0,24,10
111,112.0,0.0,48,10
112,113.0,0.0,24,10
113,114.0,0.0,32,10
114,115.0,0.0,16,10
115,116.0,0.0,64,10
116,117.0,0.0,8,10
117,118.0,1.0,24,10
118,119.0,2.0,24,10
119,120.0,3.0,16,10
120,121.0,4.0,24,10
121,122.0,5.0,64,10
122,123.0,6.0,32,10
123,124.0,7.0,8,10
124,125.0,1.0,8,10
125,126.0,1.0,16,10
126,127.0,0.0,64,10
127,128.0,0.0,64,10
128,129.0,0.0,8,10
129,130.0,0.0,32,10
130,131.0,0.0,8,10
131,132.0,0.0,64,10
132,133.0,0.0,24,10
133,134.0,0.0,52,10
134,135.0,0.0,24,10
135,136.0,0.0,64,10
136,137.0,0.0,16,10
137,138.0,0.0,52,10
138,139.0,0.0,64,10
139,140.0,1.0,64,10
140,141.0,2.0,8,10
141,142.0,3.0,32,10
142,143.0,4.0,48,10
143,144.0,5.0,16,10
144,145.0,6.0,24,10
145,146.0,7.0,64,10
146,147.0,8.0,16,10
147,148.0,9.0,24,10
148,149.0,10.0,32,10
149,150.0,11.0,8,10
150,151.0,12.0,24,10
151,152.0,13.0,16,10
152,153.0,14.0,64,10
153,154.0,15.0,32,10
154,155.0,1.0,52,10
155,156.0,0.0,52,10
156,157.0,0.0,8,10
157,158.0,0.0,16,10
158,159.0,0.0,32,10
159,160.0,0.0,64,10
160,161.0,0.0,8,10
161,162.0,1.0,32,10
162,163.0,2.0,8,10
163,164.0,3.0,52,10
164,165.0,5.0,32,10
165,166.0,8.0,48,10
166,167.0,12.0,8,10
167,168.0,16.0,64,10
168,169.0,21.0,8,10
169,170.0,16.0,8,10
170,171.0,20.0,24,10
171,172.0,24.0,16,10
172,173.0,29.0,24,10
173,174.0,35.0,64,10
174,175.0,39.0,64,10
175,176.0,44.0,24,10
176,177.0,49.0,8,10
177,178.0,54.0,32,10
178,179.0,59.0,52,10
179,180.0,64.0,52,10
180,181.0,70.0,52,10
181,182.0,76.0,48,10
182,183.0,82.0,16,10
183,184.0,88.0,16,10
184,185.0,74.0,32,10
185,186.0,59.0,48,10
186,187.0,43.0,32,10
187,188.0,28.0,24,10
188,189.0,15.0,48,10
189,190.0,8.0,52,10
190,191.0,11.0,24,10
191,192.0,7.0,64,10
192,193.0,8.0,52,10
193,194.0,8.0,16,10
194,195.0,11.0,64,10
195,196.0,14.0,64,10
196,197.0,17.0,48,10
197,198.0,21.0,8,10
198,199.0,25.0,64,10
199,200.0,29.0,32,10
200,201.0,33.0,24,10
201,202.0,38.0,16,10
202,203.0,43.0,32,10
203,204.0,48.0,8,10
204,205.0,53.0,64,10
205,206.0,59.0,16,10
206,207.0,65.0,24,10
207,208.0,71.0,16,10
208,209.0,77.0,32,10
209,210.0,83.0,16,10
210,211.0,89.0,52,10
211,212.0,95.0,64,10
212,213.0,101.0,32,10
213,214.0,90.0,8,10
214,215.0,55.0,52,10
215,216.0,26.0,52,10
216,217.0,7.0,52,10
217,218.0,12.0,16,10
218,219.0,17.0,48,10
219,220.0,24.0,52,10
220,221.0,32.0,64,10
221,222.0,41.0,64,10
222,223.0,50.0,24,10
223,224.0,60.0,16,10
